GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework4,yuanjieyue.ast2,InfixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast2,Assignment,9,110,6,8,0,23,4,12,0,9
homework4,yuanjieyue.ast2,Sequence,11,116,8,10,0,25,6,12,0,9
homework4,yuanjieyue.ast2,Declaration,7,69,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast2,NodeFactory,0,3,0,0,0,1,0,1,0,1
homework4,yuanjieyue.ast2,StringExpression,7,61,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast2,Operator,7,63,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast2,Variable,7,63,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast2,NumberExpression,0,54,0,6,0,15,0,10,0,7
homework4,yuanjieyue.ast2,VariableExpression,0,52,0,4,0,15,0,9,0,7
homework4,yuanjieyue.ast2,StatementFactory,6,56,5,7,0,19,5,8,0,7
homework4,yuanjieyue.ast2,PrefixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast2,ExpressionFactory,8,81,6,12,0,25,6,10,0,7
homework4,yuanjieyue.ast,Sequence,0,100,0,6,0,25,0,12,0,9
homework4,yuanjieyue.ast,Declaration,7,69,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast,InfixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast,Variable,1,54,1,5,0,14,1,8,0,6
homework4,yuanjieyue.ast,StringExpression,7,61,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast,NumberExpression,0,54,0,6,0,15,0,10,0,7
homework4,yuanjieyue.ast,VariableExpression,0,52,0,4,0,15,0,9,0,7
homework4,yuanjieyue.ast,Operator,7,58,4,6,0,14,3,8,0,6
homework4,yuanjieyue.ast,PrefixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast,Assignment,9,110,6,8,0,23,4,12,0,9
homework4,yuanjieyue.ast4,StatementFactory,6,169,5,9,0,38,5,10,0,8
homework4,yuanjieyue.ast4,ExpressionFactory,131,111,6,12,21,30,7,10,1,7
homework4,yuanjieyue.ast4,PrefixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast4,NodeFactory,0,27,0,0,0,9,0,1,0,1
homework4,yuanjieyue.ast4,Variable,7,63,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast4,Sequence,11,116,8,10,0,25,6,12,0,9
homework4,yuanjieyue.ast4,InfixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast4,StringExpression,7,61,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast4,Declaration,7,69,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast4,Operator,12,58,4,6,1,14,4,8,1,6
homework4,yuanjieyue.ast4,NumberExpression,0,54,0,6,0,15,0,10,0,7
homework4,yuanjieyue.ast4,VariableExpression,0,52,0,4,0,15,0,9,0,7
homework4,yuanjieyue.ast4,Assignment,9,110,6,8,0,23,4,12,0,9
homework4,yuanjieyue.ast3,Variable,7,63,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast3,Operator,7,63,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast3,PrefixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast3,StatementFactory,6,149,5,7,0,35,5,9,0,8
homework4,yuanjieyue.ast3,NodeFactory,0,27,0,0,0,9,0,1,0,1
homework4,yuanjieyue.ast3,NumberExpression,0,54,0,6,0,15,0,10,0,7
homework4,yuanjieyue.ast3,Declaration,7,69,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast3,Assignment,9,110,6,8,0,23,4,12,0,9
homework4,yuanjieyue.ast3,InfixExpression,15,163,12,14,0,33,9,15,0,11
homework4,yuanjieyue.ast3,StringExpression,7,61,4,6,0,15,3,9,0,7
homework4,yuanjieyue.ast3,Sequence,11,116,8,10,0,25,6,12,0,9
homework4,yuanjieyue.ast3,ExpressionFactory,8,234,6,12,0,51,6,11,0,8
homework4,yuanjieyue.ast3,VariableExpression,0,52,0,4,0,15,0,9,0,7
